26--Oct-16	"NOAA/ESRL/GMD flask data, supplied by S. Montzka Principal Investigator (Stephen.A.Montzka@noaa.gov) and J. W. Elkins for collaborative use (see the read.me file for more information)"					
alt	1995.91423	19951130 1637	193	5	107.48	0.07
alt	1995.93631	19951208 1807	205	4.7	107.73	0.10
alt	1996.03249	19960112 2123	168	1.7	106.45	0.71
alt	1996.07045	19960126 1851	29	0.8	107.10	0.68
alt	1996.12779	19960216 1829	200	0.8	105.54	0.48
alt	1996.16586	19960301 1655	128	0.01	105.87	0.11
alt	1996.19101	19960310 2150	193	2.2	104.08	0.54
alt	1996.26153	19960405 1718	280	2.1	102.62	0.40
alt	1996.31920	19960426 1950	210	10.4	102.85	0.66
alt	1996.35466	19960509 1920	8	1.1	103.38	0.00
alt	1996.39555	19960524 1831	38	3.3	102.96	0.40
alt	1996.47193	19960621 1727	102	4.1	98.53	0.98
alt	1996.50723	19960704 1533	168.4	5.6	98.70	0.13
alt	1996.52944	19960712 1835	52	3.13	98.58	0.23
alt	1996.64385	19960823 1534	191	7	94.15	0.84
alt	1996.66304	19960830 1608	332	1.2	93.78	1.34
alt	1996.73951	19960927 1553	282	1.2	92.22	0.89
alt	1996.77782	19961011 1624	250	1.1	92.64	0.15
alt	1996.85421	19961108 1524	130	0.8	91.13	0.04
alt	1996.87333	19961115 1521	338	1.4	90.98	0.10
alt	1996.95007	19961213 1723	73	0.4	89.05	0.86
alt	1997.04604	19970117 1917	118	3	90.75	1.17
alt	1997.15813	19970227 1714	220	3	87.93	0.68
alt	1997.17984	19970307 1523	96	4.2	88.44	0.76
alt	1997.19673	19970313 1919	269	4.4	87.77	0.27
alt	1997.40748	19970529 1731	37.369	0.4911	85.36	0.38
alt	1997.42963	19970606 1933	179.64	1.373	86.18	0.21
alt	1997.46787	19970620 1833	76.401	1.961	82.95	1.03
alt	1997.50373	19970703 2043	344.58	1.471	82.37	0.07
alt	1997.98577	19971226 1923	344.42	0.393	75.05	0.33
alt	1998.04297	19980116 1625	109.9	1.863	73.08	0.33
alt	1998.07893	19980129 1925	-99	-99	74.33	0.00
alt	1998.23456	19980327 1445	241.99	12.937	73.09	0.90
alt	1998.27022	19980409 1506	334.36	0.491	72.64	0.29
alt	1998.32806	19980430 1746	298.68	2.059	73.45	1.29
alt	1998.38498	19980521 1224	-99	-99	71.97	0.08
alt	1998.40450	19980528 1524	-99	-99	70.89	0.25
alt	1998.42357	19980604 1427	171.8	3.3	69.99	0.33
alt	1998.44297	19980611 1627	24.7	0.59	69.47	0.11
alt	1998.53877	19980716 1535	72.4	3.13	69.08	0.04
alt	1998.57705	19980730 1457	231.59	13.623	66.71	0.24
alt	1998.59633	19980806 1550	285.82	1.863	66.71	0.32
alt	1998.61539	19980813 1450	207	3.6	65.92	0.66
alt	1998.65695	19980828 1853	25.177	-99	66.00	0.70
alt	1998.69210	19980910 1449	209.09	22.639	64.25	0.08
alt	1998.71174	19980917 1849	241.6	3.63	64.12	0.09
alt	1998.73045	19980924 1447	219.2	6.468	64.10	0.28
alt	1998.74974	19981001 1545	172.77	1.323	63.66	0.87
alt	1998.78810	19981015 1547	315.97	2.891	64.52	0.17
alt	1998.80716	19981022 1443	186.8	3.773	64.12	0.48
alt	1998.84589	19981105 1801	100.7	0.686	63.37	0.32
alt	1998.86480	19981112 1537	334.01	0.686	62.99	0.04
alt	1998.90625	19981127 1847	246.14	1.225	62.87	0.24
alt	1998.92281	19981203 1950	248	10.5	62.83	0.26
alt	1998.94439	19981211 1652	20.053	2.989	62.71	0.30
alt	1998.99939	19981231 1838	200.44	1.127	62.39	1.04
alt	1999.05946	19990122 1651	223.03	6.125	61.62	0.20
alt	1999.11697	19990212 1637	201.13	1.323	61.87	0.11
alt	1999.13344	19990218 1656	269.1	3.695	61.35	0.05
alt	1999.17175	19990304 1633	292.83	1.323	61.58	0.13
alt	1999.19119	19990311 1850	206.81	14.063	61.06	0.06
alt	1999.21023	19990318 1739	323.6	0.49	61.27	0.50
alt	1999.32507	19990429 1538	301.65	1.078	59.99	0.01
alt	1999.36653	19990514 1846	nd	0	58.89	0.01
alt	1999.38274	19990520 1648	349.57	1.029	59.60	0.27
alt	1999.40189	19990527 1633	354.241	0.686	59.44	0.10
alt	1999.46218	19990618 1642	349.63	10.388	57.48	0.26
alt	1999.47850	19990624 1539	352.09	2.646	57.46	0.48
alt	1999.49806	19990701 1859	306.4	2.303	56.89	0.12
alt	1999.51964	19990709 1603	11.218	3.577	55.57	0.45
alt	1999.55513	19990722 1454	330.13	2.793	55.33	0.17
alt	1999.59347	19990805 1448	325.48	2.156	55.70	0.70
alt	1999.61310	19990812 1843	3.1279	1.568	54.76	0.13
alt	1999.65133	19990826 1739	292.38	0.833	54.36	0.10
alt	1999.72781	19990923 1538	86.989	0.539	53.28	0.56
alt	1999.74744	19990930 1937	231.08	3.822	54.04	1.91
alt	1999.76652	19991007 1845	256.3	1.568	52.74	0.14
alt	1999.78523	19991014 1439	283.68	0.245	52.23	0.06
alt	1999.80245	19991020 2127	249.54	9.359	52.13	0.00
alt	1999.86209	19991111 1556	23	5.096	52.33	0.33
alt	2000.01385	20000106 0137	282.01	1.764	51.75	0.33
alt	2000.03457	20000113 1540	110.73	2.401	51.40	0.24
alt	2000.05403	20000120 1836	288.27	2.96	51.70	0.00
alt	2000.11120	20000210 1648	287.74	1.421	51.15	0.06
alt	2000.13019	20000217 1536	222.44	1.029	50.91	0.09
alt	2000.14932	20000224 1537	-99	-99	50.30	0.01
alt	2000.17119	20000303 1545	188.78	1.764	50.31	0.41
alt	2000.20670	20000316 1538	251.05	0.441	50.37	0.12
alt	2000.24506	20000330 1638	73.531	1.078	50.31	0.40
alt	2000.26409	20000406 1545	219.98	0.833	50.32	0.19
alt	2000.28595	20000414 1546	350.68	1.078	50.06	0.23
alt	2000.34319	20000505 1437	148.79	0.833	49.87	0.41
alt	2000.35958	20000511 1433	260.92	6.125	49.46	0.38
alt	2000.37883	20000518 1536	235	2.254	49.05	0.14
alt	2000.43620	20000608 1536	268.1	1.708	48.00	0.09
alt	2000.51269	20000706 1529	228.53	8.673	47.56	0.06
alt	2000.53478	20000714 1733	352.71	6.223	47.99	0.08
alt	2000.55099	20000720 1552	351.82	3.577	47.87	0.12
alt	2000.61099	20000811 1457	60.611	3.626	46.42	0.05
alt	2000.63010	20000818 1447	87.086	4.263	46.24	0.03
alt	2000.64644	20000824 1419	239.32	14.112	45.60	0.02
alt	2000.67145	20000902 1800	123.11	2.94	44.63	0.10
alt	2000.83789	20001102 1603	256.56	0.294	44.18	0.05
alt	2000.85963	20001110 1502	206.19	4.41	43.70	0.21
alt	2000.87604	20001116 1506	135.22	1.176	43.86	0.01
alt	2000.89788	20001124 1500	319.84	1.176	43.77	0.10
alt	2000.93352	20001207 1603	193.7	2.058	43.88	0.17
alt	2000.95534	20001215 1544	350.18	5.585	43.36	0.15
alt	2000.97164	20001221 1452	239.16	1.237	43.41	0.08
alt	2001.08673	20010201 1543	196.43	1.569	42.39	0.25
alt	2001.10895	20010209 1825	76.484	0.588	42.22	0.07
alt	2001.12537	20010215 1815	92.271	1.029	43.77	0.37
alt	2001.14428	20010222 1552	270.75	1.96	42.61	0.31
alt	2001.16334	20010301 1453	160.87	2.156	42.33	0.02
alt	2001.18912	20010311 0043	247.57	0.98	42.18	0.22
alt	2001.24014	20010329 1537	228.31	9.212	42.47	0.24
alt	2001.31534	20010426 0223	103.77	2.03	42.24	0.14
alt	2001.33864	20010504 1431	289.91	1.176	41.15	0.06
alt	2001.35821	20010511 1755	281.38	1.078	41.53	0.11
alt	2001.37435	20010517 1519	198.92	8.673	40.89	0.08
alt	2001.39365	20010524 1624	349.13	8.379	41.53	0.37
alt	2001.41260	20010531 1423	225.16	11.907	40.87	0.19
alt	2001.43179	20010607 1430	214.78	12.103	41.34	0.70
alt	2001.47296	20010622 1506	70.6	2.156	40.36	0.34
alt	2001.49202	20010629 1406	43.431	2.058	39.72	0.10
alt	2001.50847	20010705 1411	223.32	9.359	39.31	0.22
alt	2001.52762	20010712 1356	240.16	12.691	38.67	0.08
alt	2001.55006	20010720 1832	342.26	1.666	38.47	0.08
alt	2001.56626	20010726 1626	88.526	23.699	38.24	0.08
alt	2001.58526	20010802 1451	18.772	1.127	38.57	0.38
alt	2001.60449	20010809 1520	35.591	1.127	37.87	0.01
alt	2001.62627	20010817 1406	69.169	2.352	38.13	0.34
alt	2001.64551	20010824 1441	310.7	1.029	37.93	0.08
alt	2001.66469	20010831 1441	0.147	8.589	37.63	0.11
alt	2001.68377	20010907 1352	257.6	1.372	37.15	0.10
alt	2001.70030	20010913 1440	246.33	2.352	37.02	0.01
alt	2001.71946	20010920 1427	235.76	0.245	36.94	0.00
alt	2001.73865	20010927 1436	234.29	2.646	36.77	0.11
alt	2001.77701	20011011 1437	189.13	3.234	36.86	0.15
alt	2001.79641	20011018 1635	190.6	1.8613	36.55	0.16
alt	2001.81602	20011025 2020	160.82	3.234	36.64	0.18
alt	2001.83513	20011101 1946	211.2	1.864	36.82	0.30
alt	2001.85931	20011110 1535	62.01	2.055	36.44	0.32
alt	2001.87300	20011115 1530	180.32	2.451	35.99	0.32
alt	2001.89222	20011122 1550	8.3301	6.071	36.50	0.03
alt	2001.93065	20011206 1630	345.15	4.41	35.99	0.12
alt	2001.95576	20011215 2029	242.1	10.111	35.88	0.06
alt	2001.97167	20011221 1549	243.64	4.41	35.78	0.05
alt	2001.99638	20011230 1618	230.64	11.711	35.70	0.06
alt	2002.01004	20020104 1555	185.99	1.427	35.86	0.20
alt	2002.02927	20020111 1625	29.698	3.381	35.75	0.10
alt	2002.06783	20020125 1811	313.99	1.764	35.51	0.03
alt	2002.14152	20020221 1542	271.98	1.911	34.95	0.07
alt	2002.16071	20020228 1548	229.94	8.722	35.49	0.18
alt	2002.18291	20020308 1820	202.8	5.39	35.20	0.26
alt	2002.19930	20020314 1754	202.41	3.479	35.39	0.37
alt	2002.24034	20020329 1725	137.3	0.5	34.79	0.18
alt	2002.25666	20020404 1619	224.3	11.025	34.89	0.27
alt	2002.27562	20020411 1428	266.39	2.058	34.65	0.09
alt	2002.29525	20020418 1822	173	1.862	34.82	0.02
alt	2002.31681	20020426 1515	215.08	1.017	35.26	0.48
alt	2002.33889	20020504 1638	287.2	0.882	34.88	0.20
alt	2002.35254	20020509 1616	283	1.86	34.48	0.07
alt	2002.37168	20020516 1556	232.52	6.027	34.54	0.14
alt	2002.39100	20020523 1710	144.76	3.234	34.04	0.06
alt	2002.41545	20020601 1519	340.88	2.35	33.95	0.10
alt	2002.43177	20020607 1420	118.36	1.029	33.98	0.01
alt	2002.48656	20020627 1415	210	17.444	33.36	0.18
alt	2002.54420	20020718 1511	171.18	7.693	32.79	0.06
alt	2002.58256	20020801 1516	197.96	7.987	32.19	0.03
alt	2002.68128	20020906 1602	216	1.02	32.41	0.28
alt	2002.69758	20020912 1449	219	6.6	31.82	0.02
alt	2002.75512	20021003 1453	272	1.6	31.97	0.19
alt	2002.77430	20021010 1454	225	8	31.16	0.10
alt	2002.79628	20021018 1524	190	3.2	30.22	0.14
alt	2002.81258	20021024 1410	126	3.8	30.47	0.03
alt	2002.83195	20021031 1555	264	1.4	30.49	0.14
alt	2002.85099	20021107 1438	185	3.6	30.17	0.22
alt	2002.87022	20021114 1509	169	3.3	30.30	0.16
alt	2002.89212	20021122 1500	196	1.2	30.21	0.16
alt	2002.92775	20021205 1505	0	0	30.35	0.06
alt	2002.96613	20021219 1519	261	1.4	30.03	0.10
alt	2002.98527	20021226 1500	191	3.4	30.00	0.04
alt	2003.00726	20030103 1538	253	1.2	29.86	0.01
alt	2003.06490	20030124 1630	142.1	0.637	29.72	0.13
alt	2003.08133	20030130 1625	344.2	6.71	29.80	0.01
alt	2003.10098	20030206 2034	321	13.1	30.12	0.03
alt	2003.11953	20030213 1504	0	0	29.78	0.03
alt	2003.13899	20030220 1732	121	2.2	30.20	0.17
alt	2003.15811	20030227 1702	208	0.2	30.22	0.33
alt	2003.19942	20030314 1857	-99	-99	29.63	0.06
alt	2003.23741	20030328 1542	214	1.12	29.98	0.11
alt	2003.25384	20030403 1540	193.49	4.31	29.82	0.09
alt	2003.27331	20030410 1810	270	0.34	29.17	0.27
alt	2003.33094	20030501 1903	230	1.1	28.96	0.06
alt	2003.34972	20030508 1533	193	2.1	28.66	0.09
alt	2003.36873	20030515 1407	213	1.4	28.87	0.00
alt	2003.38811	20030522 1552	338	4.2	28.68	0.10
alt	2003.40995	20030530 1510	69	0.3	28.65	0.03
alt	2003.42631	20030605 1428	53	2.4	28.06	0.09
alt	2003.44837	20030613 1544	22	0.1	28.07	0.14
alt	2003.46481	20030619 1543	205	13.7	28.15	0.06
alt	2003.48402	20030626 1600	45	3.2	27.64	0.06
alt	2003.50338	20030703 1738	185	7	27.10	0.01
alt	2003.52244	20030710 1632	58	1.7	27.35	0.16
alt	2003.54145	20030717 1506	271	3.5	27.18	0.07
alt	2003.57997	20030731 1632	107	2.9	27.32	0.21
alt	2003.59889	20030807 1415	167	5	26.97	0.19
alt	2003.61819	20030814 1520	245	6.3	26.70	0.05
alt	2003.64305	20030823 1709	93	3	26.60	0.13
alt	2003.65961	20030829 1811	77	2	26.37	0.16
alt	2003.67590	20030904 1653	124	2	26.22	0.16
alt	2003.69505	20030911 1640	217	7.6	26.05	0.12
alt	2003.71416	20030918 1602	210	7.4	26.21	0.09
alt	2003.73332	20030925 1552	238	5.9	25.85	0.16
alt	2003.75519	20031003 1528	29	0.9	25.89	0.22
alt	2003.77208	20031009 1924	82	1.8	25.58	0.10
alt	2003.79092	20031016 1629	153	5	25.56	0.13
alt	2003.82938	20031030 1722	195	2	25.35	0.06
alt	2003.84840	20031106 1557	346	2.5	25.40	0.16
alt	2003.86770	20031113 1704	257	1.4	25.21	0.21
alt	2003.90607	20031127 1711	339	0.6	25.15	0.07
alt	2003.92529	20031204 1733	287	7.3	25.08	0.13
alt	2003.94706	20031212 1614	191	5.4	25.27	0.02
alt	2003.96356	20031218 1649	189	0.4	24.83	0.02
alt	2003.98576	20031226 1915	62	1.1	25.23	0.11
alt	2004.00454	20040102 1553	112	2.4	24.71	0.15
alt	2004.02097	20040108 1612	64	1	25.03	0.11
alt	2004.04295	20040116 1714	235	0.9	24.88	0.18
alt	2004.07863	20040129 1840	94	3.2	24.76	0.06
alt	2004.11661	20040212 1618	22	2.1	24.63	0.01
alt	2004.13560	20040219 1507	217	1.1	24.82	0.05
alt	2004.15491	20040226 1645	98	3.1	24.74	0.04
alt	2004.17390	20040304 1533	136	2.5	24.50	0.03
alt	2004.19334	20040311 1817	139	14	24.44	0.25
alt	2004.21511	20040319 1730	148	5	24.44	0.11
alt	2004.23144	20040325 1700	2.1	9	24.35	0.10
alt	2004.25044	20040401 1550	152	2.4	24.38	0.01
alt	2004.26952	20040408 1526	199	1.1	24.26	0.11
alt	2004.28595	20040414 1546	61	2.2	24.24	0.09
alt	2004.32431	20040428 1644	101	2.4	24.15	0.19
alt	2004.36244	20040512 1543	194	1.8	23.77	0.36
alt	2004.38428	20040520 1530	276	1	23.68	0.14
alt	2004.40063	20040526 1508	290	3.7	23.60	0.49
alt	2004.41971	20040602 1444	171	4.9	23.53	0.05
alt	2004.44214	20040610 1943	45	1.3	23.35	0.13
alt	2004.48277	20040625 1637	4	4	23.06	0.09
alt	2004.49633	20040630 1546	346	1	23.17	0.01
alt	2004.51586	20040707 1920	66	4.6	22.71	0.03
alt	2004.53454	20040714 1524	183	6.5	22.31	0.06
alt	2004.55635	20040722 1457	57	6	22.35	0.07
alt	2004.57265	20040728 1409	185	8.3	22.37	0.22
alt	2004.59428	20040805 1207	114	0.7	22.17	0.07
alt	2004.61103	20040811 1518	299	1.3	22.05	0.01
alt	2004.63062	20040818 1924	22	0.6	22.13	0.03
alt	2004.65229	20040826 1744	250	8.5	21.74	0.00
alt	2004.66847	20040901 1550	323	5.3	21.83	0.03
alt	2004.68755	20040908 1528	200	2	21.83	0.00
alt	2004.70950	20040916 1614	120	3.3	21.57	0.19
alt	2004.72612	20040922 1816	295	0.6	21.41	0.24
alt	2004.75022	20041001 1358	241	1.1	21.27	0.08
alt	2004.76671	20041007 1449	331	2.5	21.33	0.13
alt	2004.78348	20041013 1807	334	2.1	21.31	0.03
alt	2004.80222	20041020 1441	253	0.9	21.12	0.20
alt	2004.82674	20041029 1407	220	0.6	21.09	0.00
alt	2004.84593	20041105 1440	242	3	21.36	0.09
alt	2004.86515	20041112 1528	222	1.2	21.01	0.12
alt	2004.88213	20041118 2036	216	10	21.08	0.03
alt	2004.91706	20041201 1528	184	2.4	20.96	0.12
alt	2004.95544	20041215 1635	265	1.5	21.09	0.17
alt	2004.97493	20041222 1949	234	8.2	21.08	0.00
alt	2005.00216	20050101 1855	104	2.6	21.13	0.15
alt	2005.01271	20050105 1522	202	1.9	20.97	0.10
alt	2005.03198	20050112 1609	227	1	20.83	0.03
alt	2005.05131	20050119 1730	-99	0	20.99	0.11
alt	2005.08944	20050202 1529	204	4.9	20.63	0.01
alt	2005.10870	20050209 1614	200	9	20.63	0.03
alt	2005.14709	20050223 1632	234	6.6	20.51	0.06
alt	2005.16615	20050302 1527	347	4.7	20.73	0.09
alt	2005.19030	20050311 1100	197	1.8	20.37	0.04
alt	2005.20657	20050317 0935	178	0.2	20.36	0.27
alt	2005.26143	20050406 1006	223	0.5	20.50	0.01
alt	2005.28127	20050413 1556	111	1.3	20.05	0.01
alt	2005.30037	20050420 1515	215	0.2	20.10	0.26
alt	2005.31944	20050427 1420	188	0.3	20.21	0.04
alt	2005.35775	20050511 1356	351	0.3	20.00	0.23
alt	2005.37694	20050518 1358	81	1.4	19.86	0.04
alt	2005.39666	20050525 1843	348	11.6	19.54	0.14
alt	2005.41811	20050602 1436	332	1.4	19.67	0.03
alt	2005.43479	20050608 1645	-99	-99	19.51	0.02
alt	2005.45364	20050615 1355	38	2.2	19.34	0.12
alt	2005.51128	20050706 1448	58	2.4	18.77	0.11
alt	2005.53046	20050713 1449	30	3.4	19.13	0.17
alt	2005.56915	20050727 1743	58	3.7	18.75	0.09
alt	2005.58811	20050803 1553	189	8.5	18.66	0.05
alt	2005.60706	20050810 1350	83	1.1	18.42	0.06
alt	2005.62630	20050817 1421	273	0.9	18.37	0.01
alt	2005.64535	20050824 1314	35	1.7	18.27	0.07
alt	2005.66531	20050831 2009	200	6.6	18.29	0.01
alt	2005.68438	20050907 1911	236	8	18.08	0.25
alt	2005.70583	20050915 1503	224	1.5	18.01	0.13
alt	2005.72768	20050923 1430	198	2.8	17.62	0.09
alt	2005.74158	20050928 1616	188	2.1	17.85	0.07
alt	2005.76343	20051006 1537	354	6.6	17.84	0.04
alt	2005.78008	20051012 1728	194	2.8	17.82	0.03
alt	2005.79933	20051019 1807	215	19.1	17.74	0.02
alt	2005.82219	20051028 0221	59	1.5	17.57	0.04
alt	2005.83750	20051102 1632	215	1.6	17.65	0.05
alt	2005.85697	20051109 1905	130	1.8	17.57	0.02
alt	2005.89505	20051123 1640	266	1.4	17.55	0.02
alt	2005.91458	20051130 1945	236	1.8	17.54	0.12
alt	2005.93673	20051208 2147	202	1.8	17.51	0.07
alt	2005.95814	20051216 1719	238	2	17.61	0.10
alt	2005.97161	20051221 1519	190	9.3	17.35	0.01
alt	2005.99081	20051228 1532	327	2.4	17.47	0.02
alt	2006.06822	20060125 2139	261	1.1	17.16	0.11
alt	2006.08713	20060201 1916	110	1.7	17.21	0.06
alt	2006.10623	20060208 1837	301	1.5	17.25	0.11
alt	2006.13052	20060217 1520	190	1.9	17.26	0.20
alt	2006.14739	20060223 1906	248	6.7	17.03	0.18
alt	2006.16367	20060301 1743	95	5.4	17.03	0.05
alt	2006.18299	20060308 1902	70	3.8	17.14	0.06
alt	2006.20221	20060315 1923	193	2.2	17.23	0.02
alt	2006.22135	20060322 1901	200	6.7	16.91	0.17
alt	2006.24594	20060331 1828	170	0.2	16.92	0.03
alt	2006.26250	20060406 1929	188	2.5	17.00	0.04
alt	2006.27884	20060412 1838	250	8.6	16.76	0.03
alt	2006.29777	20060419 1627	285	1.7	16.82	0.11
alt	2006.31739	20060426 2021	270	2.6	16.77	0.03
alt	2006.34146	20060505 1513	44	0.8	16.78	0.21
alt	2006.35541	20060510 1723	224	7	16.55	0.06
alt	2006.37987	20060519 1539	322	4.2	16.59	0.01
alt	2006.41303	20060531 1808	23	0.3	16.35	0.13
alt	2006.43761	20060609 1728	80	2.7	16.46	0.00
alt	2006.47616	20060623 1911	208	6	16.24	0.10
alt	2006.48988	20060628 1920	42	2.2	16.13	0.04
alt	2006.51398	20060707 1426	327	2.1	16.00	0.09
alt	2006.53051	20060713 1515	53	3.9	15.89	0.11
alt	2006.55004	20060720 1823	60	3	15.66	0.01
alt	2006.57167	20060728 1549	89	2	15.78	0.03
alt	2006.59087	20060804 1603	9	3	15.56	0.18
alt	2006.60453	20060809 1542	228	5.2	15.43	0.12
alt	2006.62405	20060816 1841	87	3.3	15.43	0.17
alt	2006.64332	20060823 1930	101	1.2	15.52	0.00
alt	2006.68243	20060907 0204	212	11.7	15.03	0.06
alt	2006.70601	20060915 1638	238	4.2	14.91	0.02
alt	2006.72006	20060920 1942	205	5.5	14.95	0.13
alt	2006.74468	20060929 1924	nd	0	14.88	0.05
alt	2006.77999	20061012 1644	221	20.8	14.80	0.14
alt	2006.79636	20061018 1605	209	11.1	14.74	0.06
alt	2006.81599	20061025 2005	232	14.8	14.75	0.05
alt	2006.84285	20061104 1523	340	3.9	14.69	0.00
alt	2006.85723	20061109 2118	210	3.4	14.70	0.02
alt	2006.87345	20061115 1927	210	3.4	14.73	0.03
alt	2006.89228	20061122 1621	297	1.1	14.78	0.14
alt	2006.91172	20061129 1841	201	5.4	14.68	0.00
alt	2006.93645	20061208 1920	nd	0	14.68	0.05
alt	2006.95020	20061213 1946	nd	0	14.60	0.10
alt	2006.97469	20061222 1817	278	2.5	14.69	0.07
alt	2006.98851	20061227 1920	201	5.4	14.67	0.06
alt	2007.01335	20070105 2059	203	6	14.63	0.03
alt	2007.02731	20070110 2313	246	0.3	14.55	0.06
alt	2007.05134	20070119 1745	-99	-99	14.54	0.06
alt	2007.07030	20070126 1551	272	1.1	14.46	0.00
alt	2007.12227	20070214 1503	197	1.5	14.54	0.34
alt	2007.14151	20070221 1540	276	1	14.47	0.07
alt	2007.16139	20070228 2147	211	2.1	14.47	0.03
alt	2007.18030	20070307 1925	180	2.3	14.26	0.16
alt	2007.20488	20070316 1847	330	4.1	14.33	0.11
alt	2007.21812	20070321 1445	268	1.1	14.30	0.11
alt	2007.23815	20070328 2213	211	16.5	14.23	0.09
alt	2007.26245	20070406 1905	221	1.1	14.16	0.07
alt	2007.27578	20070411 1549	225	1.4	14.12	0.08
alt	2007.29497	20070418 1556	65	3.7	14.06	0.01
alt	2007.31996	20070427 1849	332	4.2	14.11	0.05
alt	2007.33386	20070502 2037	261	1.2	13.95	0.01
alt	2007.35282	20070509 1844	280	1.9	14.19	0.12
alt	2007.37215	20070516 2003	193	1	14.08	0.01
alt	2007.39681	20070525 2003	297	1.4	14.03	0.07
alt	2007.41276	20070531 1548	73	2	13.91	0.11
alt	2007.43455	20070608 1437	187	3	13.78	0.17
alt	2007.44886	20070613 1959	95	2.5	13.66	0.10
alt	2007.47322	20070622 1727	50	3.3	13.63	0.06
alt	2007.49263	20070629 1926	95	1.8	13.52	0.10
alt	2007.50618	20070704 1808	208	11.5	13.45	0.07
alt	2007.53092	20070713 1853	311	1.4	13.31	0.10
alt	2007.55008	20070720 1844	98	0.8	13.37	0.03
alt	2007.56372	20070725 1810	56	2.3	13.15	0.09
alt	2007.58851	20070803 1919	292	1.6	13.13	0.03
alt	2007.60767	20070810 1909	30	1.3	12.99	0.06
alt	2007.62129	20070815 1832	348	2	12.81	0.08
alt	2007.64060	20070822 1938	65	2.9	12.75	0.03
alt	2007.68158	20070906 1841	61	0.5	12.90	0.20
alt	2007.69800	20070912 1828	289	0.8	12.66	0.04
alt	2007.73914	20070927 1854	234	2.1	12.61	0.05
alt	2007.75552	20071003 1819	240	13.9	12.62	0.09
alt	2007.77467	20071010 1805	297	1.8	12.47	0.03
alt	2007.79400	20071017 1925	216	4.9	12.53	0.18
alt	2007.81303	20071024 1806	330	9.5	12.44	0.08
alt	2007.83496	20071101 1813	256	1	12.44	0.00
alt	2007.85153	20071107 1923	239	1	12.46	0.10
alt	2007.87351	20071115 1956	220	1.5	12.28	0.02
alt	2007.90908	20071128 1931	-99	0	12.38	0.18
alt	2007.93097	20071206 1918	166	1.9	12.30	0.11
alt	2007.94786	20071212 2317	239	0.7	12.36	0.00
alt	2007.96654	20071219 1854	197	1.2	12.21	0.01
alt	2007.98578	20071226 1927	212	1.2	12.22	0.02
alt	2008.01325	20080105 2025	201	1.1	12.32	0.05
alt	2008.02416	20080109 2015	206	4.3	12.13	0.14
alt	2008.04044	20080115 1915	187	3.4	12.18	0.06
alt	2008.05654	20080121 1637	310	1.2	12.07	0.07
alt	2008.08088	20080130 1425	246	7.8	12.17	0.07
alt	2008.10008	20080206 1507	50	5.4	12.16	0.03
alt	2008.11693	20080212 1905	223	0.3	12.19	0.13
